sample_index,maximum_flow_aggregation_error,maximum_macro_row_sum_error
0,2.220446049250313e-16,2.220446049250313e-16
1,2.220446049250313e-16,2.220446049250313e-16
2,1.6653345369377348e-16,2.220446049250313e-16
3,2.7755575615628914e-16,2.220446049250313e-16
4,1.1102230246251565e-16,0.0
5,5.551115123125783e-17,2.220446049250313e-16
6,1.1102230246251565e-16,2.220446049250313e-16
7,5.551115123125783e-17,2.220446049250313e-16
8,1.1102230246251565e-16,2.220446049250313e-16
9,1.1102230246251565e-16,2.220446049250313e-16
10,1.6653345369377348e-16,1.1102230246251565e-16
11,1.6653345369377348e-16,2.220446049250313e-16
12,1.1102230246251565e-16,0.0
13,1.1102230246251565e-16,2.220446049250313e-16
14,1.1102230246251565e-16,2.220446049250313e-16
15,2.220446049250313e-16,1.1102230246251565e-16
16,1.1102230246251565e-16,2.220446049250313e-16
17,2.220446049250313e-16,2.220446049250313e-16
18,1.6653345369377348e-16,1.1102230246251565e-16
19,2.7755575615628914e-16,4.440892098500626e-16
20,3.3306690738754696e-16,1.1102230246251565e-16
21,3.3306690738754696e-16,1.1102230246251565e-16
22,4.440892098500626e-16,4.440892098500626e-16
23,1.1102230246251565e-16,2.220446049250313e-16
24,1.1102230246251565e-16,0.0
25,1.1102230246251565e-16,2.220446049250313e-16
26,1.1102230246251565e-16,2.220446049250313e-16
27,1.6653345369377348e-16,4.440892098500626e-16
28,4.440892098500626e-16,2.220446049250313e-16
29,1.1102230246251565e-16,2.220446049250313e-16
30,4.440892098500626e-16,4.440892098500626e-16
31,1.1102230246251565e-16,2.220446049250313e-16
32,1.1102230246251565e-16,2.220446049250313e-16
33,1.1102230246251565e-16,2.220446049250313e-16
34,1.6653345369377348e-16,2.220446049250313e-16
35,3.3306690738754696e-16,4.440892098500626e-16
36,1.6653345369377348e-16,2.220446049250313e-16
37,1.1102230246251565e-16,2.220446049250313e-16
38,1.6653345369377348e-16,2.220446049250313e-16
39,1.6653345369377348e-16,2.220446049250313e-16
40,2.220446049250313e-16,4.440892098500626e-16
41,1.1102230246251565e-16,2.220446049250313e-16
42,2.220446049250313e-16,2.220446049250313e-16
43,4.440892098500626e-16,6.661338147750939e-16
44,4.440892098500626e-16,4.440892098500626e-16
45,1.1102230246251565e-16,1.1102230246251565e-16
46,2.7755575615628914e-16,2.220446049250313e-16
47,1.6653345369377348e-16,2.220446049250313e-16
48,2.220446049250313e-16,2.220446049250313e-16
49,3.3306690738754696e-16,4.440892098500626e-16
50,2.7755575615628914e-16,2.220446049250313e-16
51,1.1102230246251565e-16,2.220446049250313e-16
52,1.1102230246251565e-16,2.220446049250313e-16
53,1.1102230246251565e-16,2.220446049250313e-16
54,1.1102230246251565e-16,2.220446049250313e-16
55,2.7755575615628914e-16,2.220446049250313e-16
56,2.220446049250313e-16,2.220446049250313e-16
57,2.220446049250313e-16,2.220446049250313e-16
58,1.1102230246251565e-16,1.1102230246251565e-16
59,1.1102230246251565e-16,0.0
60,9.992007221626409e-16,8.881784197001252e-16
61,1.1102230246251565e-16,3.3306690738754696e-16
62,1.6653345369377348e-16,2.220446049250313e-16
63,2.220446049250313e-16,4.440892098500626e-16
64,1.1102230246251565e-16,0.0
65,1.6653345369377348e-16,2.220446049250313e-16
66,1.6653345369377348e-16,4.440892098500626e-16
67,1.6653345369377348e-16,2.220446049250313e-16
68,2.220446049250313e-16,4.440892098500626e-16
69,1.1102230246251565e-16,0.0
70,2.220446049250313e-16,2.220446049250313e-16
71,1.1102230246251565e-16,1.1102230246251565e-16
72,1.6653345369377348e-16,2.220446049250313e-16
73,1.1102230246251565e-16,2.220446049250313e-16
74,1.1102230246251565e-16,1.1102230246251565e-16
75,1.1102230246251565e-16,2.220446049250313e-16
76,1.1102230246251565e-16,3.3306690738754696e-16
77,1.1102230246251565e-16,2.220446049250313e-16
78,1.1102230246251565e-16,2.220446049250313e-16
79,1.1102230246251565e-16,2.220446049250313e-16
80,5.551115123125783e-17,1.1102230246251565e-16
81,2.220446049250313e-16,2.220446049250313e-16
82,5.551115123125783e-17,2.220446049250313e-16
83,2.220446049250313e-16,2.220446049250313e-16
84,2.220446049250313e-16,4.440892098500626e-16
85,8.326672684688674e-17,1.1102230246251565e-16
86,1.1102230246251565e-16,2.220446049250313e-16
87,3.3306690738754696e-16,2.220446049250313e-16
88,5.551115123125783e-17,2.220446049250313e-16
89,1.1102230246251565e-16,2.220446049250313e-16
90,5.551115123125783e-17,2.220446049250313e-16
91,1.1102230246251565e-16,2.220446049250313e-16
92,2.220446049250313e-16,2.220446049250313e-16
93,2.220446049250313e-16,2.220446049250313e-16
94,5.551115123125783e-17,2.220446049250313e-16
95,1.1102230246251565e-16,1.1102230246251565e-16
96,1.1102230246251565e-16,0.0
97,1.1102230246251565e-16,1.1102230246251565e-16
98,1.1102230246251565e-16,2.220446049250313e-16
99,2.220446049250313e-16,2.220446049250313e-16
100,2.220446049250313e-16,2.220446049250313e-16
101,5.551115123125783e-17,2.220446049250313e-16
102,1.1102230246251565e-16,0.0
103,1.1102230246251565e-16,2.220446049250313e-16
104,1.1102230246251565e-16,2.220446049250313e-16
105,2.220446049250313e-16,3.3306690738754696e-16
106,2.220446049250313e-16,2.220446049250313e-16
107,4.440892098500626e-16,2.220446049250313e-16
108,1.1102230246251565e-16,4.440892098500626e-16
109,1.1102230246251565e-16,2.220446049250313e-16
110,2.220446049250313e-16,4.440892098500626e-16
111,5.551115123125783e-17,1.1102230246251565e-16
112,1.6653345369377348e-16,2.220446049250313e-16
113,3.3306690738754696e-16,2.220446049250313e-16
114,1.1102230246251565e-16,3.3306690738754696e-16
115,1.1102230246251565e-16,3.3306690738754696e-16
116,1.1102230246251565e-16,0.0
117,2.220446049250313e-16,2.220446049250313e-16
118,2.220446049250313e-16,3.3306690738754696e-16
119,3.3306690738754696e-16,2.220446049250313e-16
120,1.6653345369377348e-16,2.220446049250313e-16
121,1.1102230246251565e-16,2.220446049250313e-16
122,1.1102230246251565e-16,2.220446049250313e-16
123,1.1102230246251565e-16,1.1102230246251565e-16
124,1.6653345369377348e-16,2.220446049250313e-16
125,2.220446049250313e-16,2.220446049250313e-16
126,1.6653345369377348e-16,2.220446049250313e-16
127,3.3306690738754696e-16,2.220446049250313e-16
128,1.1102230246251565e-16,2.220446049250313e-16
129,1.1102230246251565e-16,2.220446049250313e-16
