sample_index,size,fine_count,coarse_count,maximum_nested_weight_error
0,21,4,2,2.2737367544323206e-13
1,21,5,2,8.526512829121202e-14
2,24,5,3,8.526512829121202e-14
3,28,9,3,5.684341886080802e-14
4,12,6,2,2.842170943040401e-14
5,14,9,5,1.4210854715202004e-14
6,13,6,4,1.7763568394002505e-15
7,20,9,8,3.552713678800501e-15
8,22,8,7,7.105427357601002e-15
9,23,7,2,2.2737367544323206e-13
10,20,6,4,4.263256414560601e-14
11,20,6,3,4.263256414560601e-14
12,29,4,2,3.410605131648481e-13
13,22,8,2,5.684341886080802e-14
14,19,8,7,7.105427357601002e-15
15,15,8,2,8.526512829121202e-14
16,19,6,5,2.842170943040401e-14
17,21,5,3,5.684341886080802e-14
18,19,5,3,8.526512829121202e-14
19,29,6,3,1.1368683772161603e-13
20,22,4,2,1.7053025658242404e-13
21,21,5,2,1.7053025658242404e-13
22,29,7,2,1.7053025658242404e-13
23,23,5,4,2.842170943040401e-14
24,25,4,2,2.2737367544323206e-13
25,13,9,7,3.552713678800501e-15
26,21,7,6,1.4210854715202004e-14
27,22,5,4,8.526512829121202e-14
28,25,4,3,5.684341886080802e-14
29,16,7,4,2.842170943040401e-14
30,24,4,2,5.684341886080802e-14
31,16,9,2,1.1368683772161603e-13
32,16,5,4,1.4210854715202004e-14
33,30,5,2,4.547473508864641e-13
34,20,9,2,1.1368683772161603e-13
35,18,4,2,1.1368683772161603e-13
36,28,6,3,5.684341886080802e-14
37,25,7,4,8.526512829121202e-14
38,29,4,3,1.7053025658242404e-13
39,28,7,6,2.842170943040401e-14
40,26,5,4,5.684341886080802e-14
41,15,8,3,1.4210854715202004e-14
42,22,8,3,5.684341886080802e-14
43,32,4,2,9.094947017729282e-13
44,14,7,2,8.526512829121202e-14
45,26,9,5,5.684341886080802e-14
46,30,6,5,5.684341886080802e-14
47,24,7,3,5.684341886080802e-14
48,27,8,4,5.684341886080802e-14
49,25,5,2,2.2737367544323206e-13
50,21,9,2,1.7053025658242404e-13
51,20,9,5,2.842170943040401e-14
52,17,9,8,3.552713678800501e-15
53,28,4,3,2.8421709430404007e-13
54,18,7,2,1.1368683772161603e-13
55,29,5,3,2.2737367544323206e-13
56,20,4,3,5.684341886080802e-14
57,32,5,4,1.1368683772161603e-13
58,12,4,3,5.684341886080802e-14
59,14,7,4,2.842170943040401e-14
60,30,6,2,3.410605131648481e-13
61,24,7,5,2.842170943040401e-14
62,17,4,3,1.4210854715202004e-14
63,32,4,3,1.4210854715202004e-13
64,17,6,4,2.842170943040401e-14
65,26,7,6,4.263256414560601e-14
66,13,9,6,7.105427357601002e-15
67,28,5,2,4.547473508864641e-13
68,29,6,3,1.1368683772161603e-13
69,17,5,3,1.4210854715202004e-14
70,29,9,6,8.526512829121202e-14
71,15,9,3,1.4210854715202004e-14
72,32,5,4,1.1368683772161603e-13
73,14,6,4,1.4210854715202004e-14
74,22,5,4,2.842170943040401e-14
75,15,9,6,3.552713678800501e-15
76,25,9,7,1.4210854715202004e-14
77,21,6,2,1.1368683772161603e-13
78,16,7,6,3.552713678800501e-15
79,12,6,3,1.4210854715202004e-14
80,18,8,6,1.4210854715202004e-14
81,17,9,8,7.105427357601002e-15
82,22,7,6,1.4210854715202004e-14
83,32,5,3,3.979039320256561e-13
84,17,8,2,5.684341886080802e-14
85,25,8,4,5.684341886080802e-14
86,16,9,4,7.105427357601002e-15
87,30,8,5,5.684341886080802e-14
88,18,9,6,1.4210854715202004e-14
89,25,9,8,2.842170943040401e-14
90,14,6,5,7.105427357601002e-15
91,14,5,2,2.842170943040401e-14
92,27,8,7,2.842170943040401e-14
93,30,5,2,1.7053025658242404e-13
94,13,7,6,7.105427357601002e-15
95,19,6,5,1.4210854715202004e-14
96,14,7,4,1.4210854715202004e-14
97,15,8,3,2.842170943040401e-14
98,28,8,5,5.684341886080802e-14
99,29,7,4,1.7053025658242404e-13
100,15,7,4,1.4210854715202004e-14
101,13,8,7,7.105427357601002e-15
102,19,6,3,5.684341886080802e-14
103,15,6,5,2.842170943040401e-14
104,19,9,6,2.842170943040401e-14
105,17,7,2,5.684341886080802e-14
106,21,5,2,5.684341886080802e-14
107,25,8,6,2.842170943040401e-14
108,15,7,3,2.842170943040401e-14
109,17,7,4,1.4210854715202004e-14
110,18,4,2,5.684341886080802e-14
111,25,7,4,1.1368683772161603e-13
112,14,8,2,8.526512829121202e-14
113,12,4,3,5.684341886080802e-14
114,24,5,4,1.1368683772161603e-13
115,17,8,7,1.7763568394002505e-15
116,17,7,2,5.684341886080802e-14
117,29,5,3,1.4210854715202004e-13
118,20,4,2,5.684341886080802e-14
119,24,7,2,2.8421709430404007e-13
120,32,8,6,2.842170943040401e-14
121,14,9,5,1.4210854715202004e-14
122,15,6,3,2.842170943040401e-14
123,21,9,5,1.4210854715202004e-14
124,31,8,6,5.684341886080802e-14
125,15,7,4,1.4210854715202004e-14
126,32,7,5,5.684341886080802e-14
127,14,4,3,2.842170943040401e-14
128,32,8,6,5.684341886080802e-14
129,26,8,5,5.684341886080802e-14
130,29,5,3,1.1368683772161603e-13
131,19,5,4,8.526512829121202e-14
132,26,6,4,1.7053025658242404e-13
133,17,4,2,5.684341886080802e-14
134,30,6,4,5.684341886080802e-14
135,31,8,7,5.684341886080802e-14
136,19,8,4,1.4210854715202004e-14
137,14,7,3,1.4210854715202004e-14
138,21,6,4,5.684341886080802e-14
139,18,6,5,1.4210854715202004e-14
140,29,4,3,1.7053025658242404e-13
141,14,8,4,7.105427357601002e-15
