sample_index,operator,absolute_refinement_error
0,weighted_arithmetic,5.551115123125783e-17
0,exponential_mean,1.8041124150158794e-16
0,weighted_median,0.0
0,minimum,0.0
0,unweighted_mean,0.0013280869028185482
1,weighted_arithmetic,1.1102230246251565e-16
1,exponential_mean,3.3306690738754696e-16
1,weighted_median,0.0
1,minimum,0.0
1,unweighted_mean,0.16456435345986917
2,weighted_arithmetic,0.0
2,exponential_mean,0.0
2,weighted_median,0.0
2,minimum,0.0
2,unweighted_mean,0.32505414199215393
3,weighted_arithmetic,0.0
3,exponential_mean,3.3306690738754696e-16
3,weighted_median,0.0
3,minimum,0.0
3,unweighted_mean,0.05630938639502567
4,weighted_arithmetic,0.0
4,exponential_mean,0.0
4,weighted_median,0.0
4,minimum,0.0
4,unweighted_mean,0.08570862883604229
5,weighted_arithmetic,5.551115123125783e-17
5,exponential_mean,1.6653345369377348e-16
5,weighted_median,0.0
5,minimum,0.0
5,unweighted_mean,0.03806511920839745
6,weighted_arithmetic,0.0
6,exponential_mean,0.0
6,weighted_median,0.0
6,minimum,0.0
6,unweighted_mean,0.15693354598078552
7,weighted_arithmetic,0.0
7,exponential_mean,0.0
7,weighted_median,0.0
7,minimum,0.0
7,unweighted_mean,0.03046045692636179
8,weighted_arithmetic,0.0
8,exponential_mean,0.0
8,weighted_median,0.0
8,minimum,0.0
8,unweighted_mean,0.10618621389761955
9,weighted_arithmetic,2.220446049250313e-16
9,exponential_mean,0.0
9,weighted_median,0.0
9,minimum,0.0
9,unweighted_mean,0.004709297839657289
10,weighted_arithmetic,1.1102230246251565e-16
10,exponential_mean,1.1102230246251565e-16
10,weighted_median,0.0
10,minimum,0.0
10,unweighted_mean,0.2638198507127636
11,weighted_arithmetic,2.7755575615628914e-17
11,exponential_mean,1.6653345369377348e-16
11,weighted_median,0.0
11,minimum,0.0
11,unweighted_mean,0.08393105722327143
12,weighted_arithmetic,1.1102230246251565e-16
12,exponential_mean,1.1102230246251565e-16
12,weighted_median,0.0
12,minimum,0.0
12,unweighted_mean,0.029107175743936897
13,weighted_arithmetic,0.0
13,exponential_mean,0.0
13,weighted_median,0.0
13,minimum,0.0
13,unweighted_mean,0.13132357538345515
14,weighted_arithmetic,2.7755575615628914e-17
14,exponential_mean,3.3306690738754696e-16
14,weighted_median,0.0
14,minimum,0.0
14,unweighted_mean,0.2152818292249185
15,weighted_arithmetic,1.1102230246251565e-16
15,exponential_mean,0.0
15,weighted_median,0.0
15,minimum,0.0
15,unweighted_mean,0.5805224561374359
16,weighted_arithmetic,0.0
16,exponential_mean,0.0
16,weighted_median,0.0
16,minimum,0.0
16,unweighted_mean,0.3800316118725441
17,weighted_arithmetic,0.0
17,exponential_mean,0.0
17,weighted_median,0.0
17,minimum,0.0
17,unweighted_mean,0.146947090750804
18,weighted_arithmetic,5.551115123125783e-17
18,exponential_mean,1.942890293094024e-16
18,weighted_median,0.0
18,minimum,0.0
18,unweighted_mean,0.09118645054480876
19,weighted_arithmetic,0.0
19,exponential_mean,0.0
19,weighted_median,0.0
19,minimum,0.0
19,unweighted_mean,0.08857225980876038
20,weighted_arithmetic,1.1102230246251565e-16
20,exponential_mean,0.0
20,weighted_median,0.0
20,minimum,0.0
20,unweighted_mean,0.4614918478378537
21,weighted_arithmetic,0.0
