sample_index,operator,size,group_count,direct_score,hierarchical_score,absolute_associativity_error,associative_at_tolerance
0,weighted_arithmetic,31,3,-0.2900492720595496,-0.2900492720595497,1.1102230246251565e-16,True
0,exponential_mean,31,3,-0.9900934285790537,-0.9900934285790541,4.440892098500626e-16,True
0,weighted_median,31,3,-0.37001450689129795,-0.1488057788762068,0.22120872801509114,False
0,minimum,31,3,-3.5420724167727085,-3.5420724167727085,0.0,True
1,weighted_arithmetic,26,2,0.4998963052934879,0.4998963052934877,1.6653345369377348e-16,True
1,exponential_mean,26,2,-0.8195660490793358,-0.8195660490793355,3.3306690738754696e-16,True
1,weighted_median,26,2,0.5469093393182608,-0.3386104859540935,0.8855198252723543,False
1,minimum,26,2,-3.1709727302283426,-3.1709727302283426,0.0,True
2,weighted_arithmetic,9,6,-0.3063334092360914,-0.3063334092360914,0.0,True
2,exponential_mean,9,6,-0.9332554218004973,-0.9332554218004973,0.0,True
2,weighted_median,9,6,-0.35653076516195853,-0.35653076516195853,0.0,True
2,minimum,9,6,-1.8912857152838491,-1.8912857152838491,0.0,True
3,weighted_arithmetic,19,4,0.6163689400436358,0.6163689400436357,1.1102230246251565e-16,True
3,exponential_mean,19,4,-0.24761621840052186,-0.24761621840052178,8.326672684688674e-17,True
3,weighted_median,19,4,0.2653656978203793,1.0974715151629353,0.832105817342556,False
3,minimum,19,4,-1.8769943604598427,-1.8769943604598427,0.0,True
4,weighted_arithmetic,6,3,-0.240169667717918,-0.240169667717918,0.0,True
4,exponential_mean,6,3,-1.2488059111956786,-1.2488059111956786,0.0,True
4,weighted_median,6,3,-0.9233573086424447,-0.9233573086424447,0.0,True
4,minimum,6,3,-2.1474608431266926,-2.1474608431266926,0.0,True
5,weighted_arithmetic,30,5,-0.11044128969765972,-0.11044128969765973,1.3877787807814457e-17,True
5,exponential_mean,30,5,-0.7130800128500185,-0.7130800128500188,2.220446049250313e-16,True
5,weighted_median,30,5,0.00445792298672897,-0.05367468295288181,0.05813260593961078,False
5,minimum,30,5,-1.7184134231975345,-1.7184134231975345,0.0,True
6,weighted_arithmetic,6,6,-0.16633357145998104,-0.166333571459981,2.7755575615628914e-17,True
6,exponential_mean,6,6,-0.7912356445263021,-0.791235644526302,1.1102230246251565e-16,True
6,weighted_median,6,6,-0.09819991067257791,-0.09819991067257791,0.0,True
6,minimum,6,6,-1.4063807152752452,-1.4063807152752452,0.0,True
7,weighted_arithmetic,15,3,-1.1099621565069664,-1.1099621565069664,0.0,True
7,exponential_mean,15,3,-1.9110598404339398,-1.9110598404339403,4.440892098500626e-16,True
7,weighted_median,15,3,-1.1965596221178976,-2.421744219221281,1.2251845971033835,False
7,minimum,15,3,-2.421744219221281,-2.421744219221281,0.0,True
8,weighted_arithmetic,16,4,0.26014968704150276,0.2601496870415029,1.1102230246251565e-16,True
8,exponential_mean,16,4,-0.35946148537767897,-0.3594614853776791,1.1102230246251565e-16,True
8,weighted_median,16,4,0.47202107349083217,0.04236427607541501,0.4296567974154172,False
8,minimum,16,4,-2.067326325788261,-2.067326325788261,0.0,True
9,weighted_arithmetic,34,7,-0.43760259563125464,-0.43760259563125464,0.0,True
9,exponential_mean,34,7,-1.0146680371471444,-1.0146680371471444,0.0,True
9,weighted_median,34,7,-0.5342250657219971,-0.6013078171171007,0.06708275139510356,False
9,minimum,34,7,-2.7784621870926336,-2.7784621870926336,0.0,True
10,weighted_arithmetic,18,4,-0.04591227318387667,-0.045912273183876674,6.938893903907228e-18,True
10,exponential_mean,18,4,-0.4416992075114722,-0.441699207511472,1.6653345369377348e-16,True
10,weighted_median,18,4,-0.03355874192679364,-0.34133882149254136,0.3077800795657477,False
10,minimum,18,4,-1.5708903667606415,-1.5708903667606415,0.0,True
11,weighted_arithmetic,29,5,-0.6498351201431324,-0.6498351201431322,2.220446049250313e-16,True
11,exponential_mean,29,5,-1.1589076119609647,-1.1589076119609643,4.440892098500626e-16,True
11,weighted_median,29,5,-0.5758521917222192,-1.116057001819866,0.5402048100976466,False
11,minimum,29,5,-2.472503073515948,-2.472503073515948,0.0,True
12,weighted_arithmetic,6,3,-0.49469981216827985,-0.49469981216827985,0.0,True
12,exponential_mean,6,3,-1.3440415756184272,-1.344041575618427,2.220446049250313e-16,True
12,weighted_median,6,3,-0.6791874985325898,-0.6791874985325898,0.0,True
12,minimum,6,3,-2.5577477093853567,-2.5577477093853567,0.0,True
13,weighted_arithmetic,34,4,0.01653205388176046,0.016532053881760444,1.734723475976807e-17,True
13,exponential_mean,34,4,-0.41668333280657277,-0.41668333280657277,0.0,True
13,weighted_median,34,4,-0.15398402600808753,-0.1864559384842851,0.03247191247619757,False
13,minimum,34,4,-1.7926992590402426,-1.7926992590402426,0.0,True
14,weighted_arithmetic,27,3,-0.1448548725393751,-0.14485487253937504,5.551115123125783e-17,True
14,exponential_mean,27,3,-0.8188043241037155,-0.8188043241037155,0.0,True
14,weighted_median,27,3,0.05148582566060082,0.19823184483673298,0.14674601917613217,False
14,minimum,27,3,-2.3203340059152575,-2.3203340059152575,0.0,True
15,weighted_arithmetic,10,4,0.05390030789403656,0.05390030789403657,6.938893903907228e-18,True
15,exponential_mean,10,4,-0.44920897405220045,-0.44920897405220084,3.885780586188048e-16,True
15,weighted_median,10,4,0.15905938953735368,0.15905938953735368,0.0,True
15,minimum,10,4,-1.4017306620007939,-1.4017306620007939,0.0,True
16,weighted_arithmetic,21,2,-0.4275318367204954,-0.4275318367204954,0.0,True
16,exponential_mean,21,2,-0.9950799806482851,-0.9950799806482851,0.0,True
16,weighted_median,21,2,-0.6119892320058844,-0.6119892320058844,0.0,True
16,minimum,21,2,-1.9932626754464644,-1.9932626754464644,0.0,True
17,weighted_arithmetic,34,5,0.07200749794183302,0.07200749794183305,2.7755575615628914e-17,True
17,exponential_mean,34,5,-0.9037252710019452,-0.903725271001945,2.220446049250313e-16,True
17,weighted_median,34,5,-0.07255820215335332,-0.07255820215335332,0.0,True
17,minimum,34,5,-2.5883460310452855,-2.5883460310452855,0.0,True
18,weighted_arithmetic,22,7,-0.1745370463006574,-0.17453704630065742,2.7755575615628914e-17,True
