edge_count,number_graphs,mean_number_scc,fraction_nontrivial_condensation,mean_height,mean_width,fraction_chain_condensation,fraction_strongly_connected
0,1,5.0,1.0,1.0,5.0,0.0,0.0
1,20,5.0,1.0,2.0,4.0,0.0,0.0
2,190,4.947368421052632,1.0,2.263157894736842,3.3684210526315788,0.0,0.0
3,1140,4.807017543859649,1.0,2.6666666666666665,2.824561403508772,0.0,0.0
4,4845,4.537667698658411,1.0,2.9029927760577916,2.374613003095975,0.02476780185758514,0.0
5,15504,4.112745098039215,0.9984520123839009,2.9878740970072237,1.9623323013415892,0.14860681114551083,0.0015479876160990713
6,38760,3.553405572755418,0.9814241486068112,2.8751289989680084,1.6189370485036119,0.40092879256965946,0.018575851393188854
7,77520,2.9347265221878227,0.9169246646026832,2.59984520123839,1.3224974200206399,0.6798245614035088,0.08307533539731682
8,125970,2.352822100500119,0.7866555529094229,2.2210843851710727,1.130546955624355,0.8696118123362705,0.21334444709057712
9,167960,1.8778280542986425,0.611336032388664,1.83710407239819,1.0407239819004526,0.9592760180995475,0.38866396761133604
10,184756,1.5319989607915305,0.42861936824785124,1.5222022559483859,1.0097967048431444,0.9902032951568556,0.5713806317521488
11,167960,1.3016194331983806,0.2701833769945225,1.2998332936413433,1.0017861395570373,0.9982138604429626,0.7298166230054774
12,125970,1.1587282686353895,0.15198063030880368,1.1585298086846074,1.0001984599507818,0.9998015400492181,0.8480193696911963
13,77520,1.0758513931888545,0.07507739938080496,1.0758513931888545,1.0,1.0,0.9249226006191951
14,38760,1.0314757481940144,0.03147574819401445,1.0314757481940144,1.0,1.0,0.9685242518059856
15,15504,1.0103199174406605,0.010319917440660475,1.0103199174406605,1.0,1.0,0.9896800825593395
16,4845,1.0020639834881322,0.0020639834881320948,1.0020639834881322,1.0,1.0,0.9979360165118679
17,1140,1.0,0.0,1.0,1.0,1.0,1.0
18,190,1.0,0.0,1.0,1.0,1.0,1.0
19,20,1.0,0.0,1.0,1.0,1.0,1.0
20,1,1.0,0.0,1.0,1.0,1.0,1.0
