code,number_scc,number_linear_extensions,strict_depth,strict_balance,strict_mean_extension,injective_depth,injective_balance,injective_mean_extension,levels_depth,levels_balance,levels_mean_extension,incomparable_pairs,disagreement_depth_balance,disagreement_depth_mean_extension,disagreement_balance_mean_extension,all_clocks_equal
33554432,1,1,True,True,True,True,True,True,1,1,1,0,0,0,0,True
100663296,2,2,True,True,True,False,False,False,1,1,1,1,0,0,0,True
100663298,2,1,True,True,True,True,True,True,2,2,2,0,0,0,0,True
100663328,2,1,True,True,True,True,True,True,2,2,2,0,0,0,0,True
167772160,2,2,True,True,True,False,False,False,1,1,1,1,0,0,0,True
167772164,2,1,True,True,True,True,True,True,2,2,2,0,0,0,0,True
167773184,2,1,True,True,True,True,True,True,2,2,2,0,0,0,0,True
234881024,3,6,True,True,True,False,False,False,1,1,1,3,0,0,0,True
234881026,3,3,True,True,True,False,True,True,2,3,3,2,1,1,0,False
234881028,3,3,True,True,True,False,True,True,2,3,3,2,1,1,0,False
234881030,3,2,True,True,True,False,False,False,2,2,2,1,0,0,0,True
234881056,3,3,True,True,True,False,True,True,2,3,3,2,1,1,0,False
234881152,3,3,True,True,True,False,True,True,2,3,3,2,1,1,0,False
234881156,3,2,True,True,True,False,False,False,2,2,2,1,0,0,0,True
234881158,3,1,True,True,True,True,True,True,3,3,3,0,0,0,0,True
234881184,3,2,True,True,True,False,False,False,2,2,2,1,0,0,0,True
234881188,3,1,True,True,True,True,True,True,3,3,3,0,0,0,0,True
234882048,3,3,True,True,True,False,True,True,2,3,3,2,1,1,0,False
234882080,3,2,True,True,True,False,False,False,2,2,2,1,0,0,0,True
234882208,3,1,True,True,True,True,True,True,3,3,3,0,0,0,0,True
234883072,3,3,True,True,True,False,True,True,2,3,3,2,1,1,0,False
234883074,3,2,True,True,True,False,False,False,2,2,2,1,0,0,0,True
234883078,3,1,True,True,True,True,True,True,3,3,3,0,0,0,0,True
234884096,3,2,True,True,True,False,False,False,2,2,2,1,0,0,0,True
234884098,3,1,True,True,True,True,True,True,3,3,3,0,0,0,0,True
234884128,3,1,True,True,True,True,True,True,3,3,3,0,0,0,0,True
301989888,2,2,True,True,True,False,False,False,1,1,1,1,0,0,0,True
301989896,2,1,True,True,True,True,True,True,2,2,2,0,0,0,0,True
302022656,2,1,True,True,True,True,True,True,2,2,2,0,0,0,0,True
369098752,3,6,True,True,True,False,False,False,1,1,1,3,0,0,0,True
369098754,3,3,True,True,True,False,True,True,2,3,3,2,1,1,0,False
369098760,3,3,True,True,True,False,True,True,2,3,3,2,1,1,0,False
369098762,3,2,True,True,True,False,False,False,2,2,2,1,0,0,0,True
369098784,3,3,True,True,True,False,True,True,2,3,3,2,1,1,0,False
369099008,3,3,True,True,True,False,True,True,2,3,3,2,1,1,0,False
369099016,3,2,True,True,True,False,False,False,2,2,2,1,0,0,0,True
369099018,3,1,True,True,True,True,True,True,3,3,3,0,0,0,0,True
369099040,3,2,True,True,True,False,False,False,2,2,2,1,0,0,0,True
369099048,3,1,True,True,True,True,True,True,3,3,3,0,0,0,0,True
369131520,3,3,True,True,True,False,True,True,2,3,3,2,1,1,0,False
369131552,3,2,True,True,True,False,False,False,2,2,2,1,0,0,0,True
369131808,3,1,True,True,True,True,True,True,3,3,3,0,0,0,0,True
369164288,3,3,True,True,True,False,True,True,2,3,3,2,1,1,0,False
369164290,3,2,True,True,True,False,False,False,2,2,2,1,0,0,0,True
369164298,3,1,True,True,True,True,True,True,3,3,3,0,0,0,0,True
369197056,3,2,True,True,True,False,False,False,2,2,2,1,0,0,0,True
369197058,3,1,True,True,True,True,True,True,3,3,3,0,0,0,0,True
369197088,3,1,True,True,True,True,True,True,3,3,3,0,0,0,0,True
436207616,3,6,True,True,True,False,False,False,1,1,1,3,0,0,0,True
436207620,3,3,True,True,True,False,True,True,2,3,3,2,1,1,0,False
436207624,3,3,True,True,True,False,True,True,2,3,3,2,1,1,0,False
436207628,3,2,True,True,True,False,False,False,2,2,2,1,0,0,0,True
436208640,3,3,True,True,True,False,True,True,2,3,3,2,1,1,0,False
436215808,3,3,True,True,True,False,True,True,2,3,3,2,1,1,0,False
436215816,3,2,True,True,True,False,False,False,2,2,2,1,0,0,0,True
436215820,3,1,True,True,True,True,True,True,3,3,3,0,0,0,0,True
436216832,3,2,True,True,True,False,False,False,2,2,2,1,0,0,0,True
436216840,3,1,True,True,True,True,True,True,3,3,3,0,0,0,0,True
436240384,3,3,True,True,True,False,True,True,2,3,3,2,1,1,0,False
436241408,3,2,True,True,True,False,False,False,2,2,2,1,0,0,0,True
436249600,3,1,True,True,True,True,True,True,3,3,3,0,0,0,0,True
436338688,3,3,True,True,True,False,True,True,2,3,3,2,1,1,0,False
436338692,3,2,True,True,True,False,False,False,2,2,2,1,0,0,0,True
436338700,3,1,True,True,True,True,True,True,3,3,3,0,0,0,0,True
436371456,3,2,True,True,True,False,False,False,2,2,2,1,0,0,0,True
436371460,3,1,True,True,True,True,True,True,3,3,3,0,0,0,0,True
436372480,3,1,True,True,True,True,True,True,3,3,3,0,0,0,0,True
503316480,4,24,True,True,True,False,False,False,1,1,1,6,0,0,0,True
503316482,4,12,True,True,True,False,False,False,2,3,3,5,2,2,0,False
503316484,4,12,True,True,True,False,False,False,2,3,3,5,2,2,0,False
503316486,4,8,True,True,True,False,False,False,2,3,3,4,1,1,0,False
503316488,4,12,True,True,True,False,False,False,2,3,3,5,2,2,0,False
503316490,4,8,True,True,True,False,False,False,2,3,3,4,1,1,0,False
503316492,4,8,True,True,True,False,False,False,2,3,3,4,1,1,0,False
503316494,4,6,True,True,True,False,False,False,2,2,2,3,0,0,0,True
503316512,4,12,True,True,True,False,False,False,2,3,3,5,2,2,0,False
503316608,4,12,True,True,True,False,False,False,2,3,3,5,2,2,0,False
503316612,4,8,True,True,True,False,False,False,2,3,3,4,2,2,0,False
503316614,4,4,True,True,True,False,False,False,3,3,3,3,2,2,0,False
503316616,4,6,True,True,True,False,False,False,2,2,2,4,0,0,0,True
503316620,4,5,True,True,True,False,True,True,2,4,4,3,2,2,0,False
503316622,4,3,True,True,True,False,True,True,3,4,4,2,1,1,0,False
503316640,4,8,True,True,True,False,False,False,2,3,3,4,1,1,0,False
503316644,4,4,True,True,True,False,False,False,3,3,3,3,2,2,0,False
503316736,4,12,True,True,True,False,False,False,2,3,3,5,2,2,0,False
503316740,4,6,True,True,True,False,False,False,2,2,2,4,0,0,0,True
503316744,4,8,True,True,True,False,False,False,2,3,3,4,2,2,0,False
503316746,4,4,True,True,True,False,False,False,3,3,3,3,2,2,0,False
503316748,4,5,True,True,True,False,True,True,2,4,4,3,2,2,0,False
503316750,4,3,True,True,True,False,True,True,3,4,4,2,1,1,0,False
503316768,4,8,True,True,True,False,False,False,2,3,3,4,1,1,0,False
503316776,4,4,True,True,True,False,False,False,3,3,3,3,2,2,0,False
503316864,4,8,True,True,True,False,False,False,2,3,3,4,1,1,0,False
503316868,4,5,True,True,True,False,True,True,2,4,4,3,2,2,0,False
503316872,4,5,True,True,True,False,True,True,2,4,4,3,2,2,0,False
503316876,4,4,True,True,True,False,False,False,2,2,2,2,0,0,0,True
503316878,4,2,True,True,True,False,False,False,3,3,3,1,0,0,0,False
503316896,4,6,True,True,True,False,False,False,2,2,2,3,0,0,0,True
503316900,4,3,True,True,True,False,True,True,3,4,4,2,1,1,0,False
503316904,4,3,True,True,True,False,True,True,3,4,4,2,1,1,0,False
503316908,4,2,True,True,True,False,False,False,3,3,3,1,0,0,0,False
503317504,4,12,True,True,True,False,False,False,2,3,3,5,2,2,0,False
503317536,4,8,True,True,True,False,False,False,2,3,3,4,2,2,0,False
503317664,4,4,True,True,True,False,False,False,3,3,3,3,2,2,0,False
